1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	4	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	6	7	8	5	3	9	10	11	11
12	13	14	15	16	17	14	18	19	17	14	15	16	17	14	18	19	17	14	18	19	17	14	15	16	17	14	15	16	17	14	18	19	17	14	15	16	17	14	18	19	17	14	15	16	17	14	15	16	17	14	18	19	17	14	18	19	17	14	12	20	21	22	22
12	13	14	23	5	24	14	15	16	17	14	23	5	24	14	18	19	17	14	15	16	17	14	23	5	24	14	23	5	24	14	15	16	17	14	23	5	24	14	18	19	17	14	23	5	24	14	23	5	24	14	15	16	17	14	18	19	17	14	12	20	21	22	22
12	13	14	14	14	14	14	23	5	24	14	14	14	14	14	18	19	17	14	23	5	24	14	14	14	14	14	14	14	14	14	23	5	24	14	14	14	14	14	18	19	17	14	14	14	14	14	14	14	14	14	23	5	24	14	18	19	17	14	12	6	21	22	22
3	4	14	14	14	14	14	14	14	14	14	14	14	14	14	15	16	17	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	15	16	17	14	14	14	14	14	14	14	14	14	14	14	14	14	15	16	17	14	12	25	21	22	22
12	13	14	14	14	14	14	14	14	14	14	14	14	14	14	23	5	24	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	23	5	24	14	14	14	14	14	14	14	14	14	14	14	14	14	23	5	24	14	12	26	21	22	22
12	13	27	28	29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	31	21	22	22
12	13	32	33	34	33	35	35	35	35	35	35	35	35	35	35	35	35	35	33	33	33	33	33	33	35	35	35	35	35	35	33	33	33	33	33	33	35	35	35	35	35	35	33	33	33	33	33	33	35	35	35	35	35	35	35	35	35	35	36	37	38	39	39
40	41	42	43	40	41	42	43	40	41	42	43	40	41	42	43	40	41	42	44	33	33	33	33	45	41	42	43	40	41	42	44	33	33	33	33	45	41	42	43	40	41	42	44	33	33	33	33	45	41	42	43	40	41	42	43	40	41	42	43	40	41	42	43
46	47	48	33	46	47	48	33	46	47	48	33	46	47	48	33	46	47	48	33	33	33	33	33	46	47	48	33	46	47	48	33	33	33	33	33	46	47	48	33	46	47	48	33	33	33	33	33	46	47	48	33	46	47	48	33	46	47	48	33	46	47	48	33
33	49	33	33	33	49	33	33	33	49	33	33	33	49	33	33	33	49	33	33	33	33	33	33	33	49	33	33	33	49	33	33	33	33	33	33	33	49	33	33	33	49	33	33	33	33	33	33	33	49	33	33	33	49	33	33	33	49	33	33	33	49	33	33
50	51	50	50	50	51	50	50	50	51	50	50	50	51	50	50	50	51	50	50	50	50	50	50	50	51	50	50	50	51	50	50	50	50	50	50	50	51	50	50	50	51	50	50	50	50	50	50	50	51	50	50	50	51	50	50	50	51	50	50	50	51	50	50
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52	1	1	52	52	1	1	52	52	1	1	52	52	1	1	52
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
